file	nsamp	ndiffs	ncells
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	38	148310	2527988
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	13	71832	2454712
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	16	82514	1814304
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	39	140974	2594514
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	17	84648	1927698
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	14	76944	2643536
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	40	153236	2661040
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	18	90026	2041092
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	15	83604	2832360
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	41	161164	2727566
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	19	92586	2154486
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	16	87710	3021184
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	42	174578	2794092
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	20	102228	2267880
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	17	94592	3210008
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	43	173096	2860618
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	21	103308	2381274
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	18	99164	3398832
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	22	107716	2494668
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	44	163190	2927144
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	19	106606	3587656
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	23	113400	2608062
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	45	175874	2993670
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	20	110648	3776480
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	24	121084	2721456
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	46	173314	3060196
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	21	116916	3965304
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	25	124460	2834850
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	47	179696	3126722
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	26	131216	2948244
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	22	122310	4154128
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	48	189282	3193248
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	27	134972	3061638
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	23	128500	4342952
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	49	185758	3259774
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	28	141302	3175032
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	24	133986	4531776
./crashC1.161174204/crashC1.161174204_chr1.vcf.gz	50	190622	3326300
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	2	8346	133232
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	3	11654	199848
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	4	15574	266464
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	29	144584	3288426
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	5	20046	333080
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	25	137910	4720600
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	6	23498	399696
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	7	27836	466312
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	8	30514	532928
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	9	34274	599544
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	30	147966	3401820
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	10	39800	666160
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	26	146200	4909424
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	11	44078	732776
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	12	47600	799392
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	13	50166	866008
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	31	154756	3515214
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	14	52914	932624
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	27	150220	5098248
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	15	61900	999240
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	16	63204	1065856
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	17	72832	1132472
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	32	157570	3628608
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	18	69754	1199088
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	28	154638	5287072
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	19	71454	1265704
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	20	79240	1332320
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	33	166402	3742002
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	21	83986	1398936
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	22	85726	1465552
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	29	158612	5475896
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	23	94572	1532168
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	34	163724	3855396
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	24	96398	1598784
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	25	102916	1665400
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	30	166678	5664720
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	26	109526	1732016
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	35	173738	3968790
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	27	105568	1798632
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	28	110656	1865248
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	31	168434	5853544
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	29	119128	1931864
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	36	179016	4082184
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	30	125728	1998480
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	32	178094	6042368
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	31	120782	2065096
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	37	190440	4195578
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	32	125434	2131712
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	33	130862	2198328
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	33	177874	6231192
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	38	195626	4308972
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	34	137778	2264944
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	35	144394	2331560
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	34	186956	6420016
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	36	146746	2398176
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	39	193524	4422366
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	37	142598	2464792
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	35	194770	6608840
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	38	154960	2531408
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	40	191880	4535760
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	39	158198	2598024
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	40	149986	2664640
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	36	202362	6797664
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	41	204494	4649154
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	41	160312	2731256
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	42	165774	2797872
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	37	202606	6986488
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	42	214180	4762548
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	43	177246	2864488
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	44	177636	2931104
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	38	212164	7175312
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	43	207466	4875942
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	45	172650	2997720
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	46	192258	3064336
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	39	216292	7364136
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	44	219982	4989336
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	47	185822	3130952
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	40	219684	7552960
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	48	179566	3197568
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	45	224710	5102730
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	49	188970	3264184
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	46	224948	5216124
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	41	226162	7741784
./crashC1.234807486/crashC1.234807486_chr1.vcf.gz	50	182138	3330800
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	2	7482	133120
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	3	12248	199680
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	4	16368	266240
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	5	20448	332800
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	6	24614	399360
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	7	27766	465920
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	8	32976	532480
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	9	36638	599040
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	10	41008	665600
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	42	231144	7930608
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	11	43640	732160
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	47	237970	5329518
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	12	48520	798720
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	13	54892	865280
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	14	55558	931840
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	15	60004	998400
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	16	65174	1064960
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	17	70796	1131520
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	43	234334	8119432
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	48	242608	5442912
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	18	73888	1198080
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	19	73546	1264640
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	20	82380	1331200
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	21	86318	1397760
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	22	86274	1464320
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	44	238086	8308256
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	49	232086	5556306
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	23	91082	1530880
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	24	96582	1597440
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	25	102474	1664000
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	26	102602	1730560
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	27	105148	1797120
./equilC21.13047772/equilC21.13047772_chr21.vcf.gz	50	253954	5669700
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	45	248930	8497080
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	28	110022	1863680
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	2	10490	231164
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	29	121688	1930240
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	3	15166	346746
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	4	21240	462328
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	30	119058	1996800
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	5	26284	577910
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	31	129164	2063360
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	6	29718	693492
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	46	260584	8685904
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	7	36250	809074
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	32	128462	2129920
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	8	41044	924656
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	33	128962	2196480
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	9	44964	1040238
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	34	137234	2263040
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	10	51594	1155820
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	11	57774	1271402
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	35	133598	2329600
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	47	261188	8874728
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	12	61678	1386984
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	36	142582	2396160
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	13	66956	1502566
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	37	144596	2462720
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	14	71286	1618148
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	38	143688	2529280
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	15	74998	1733730
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	48	262946	9063552
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	16	83972	1849312
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	39	151406	2595840
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	17	88636	1964894
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	40	174162	2662400
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	18	89350	2080476
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	41	168056	2728960
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	19	96200	2196058
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	49	256064	9252376
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	42	167844	2795520
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	20	105996	2311640
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	43	166710	2862080
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	21	107806	2427222
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	22	113494	2542804
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	44	169558	2928640
./growthC11.124157984/growthC11.124157984_chr11.vcf.gz	50	274970	9441200
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	23	120318	2658386
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	45	181592	2995200
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	2	11068	379548
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	3	16156	569322
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	24	122584	2773968
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	46	175334	3061760
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	4	22246	759096
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	25	129658	2889550
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	5	27602	948870
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	47	192604	3128320
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	6	33394	1138644
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	26	134932	3005132
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	7	38462	1328418
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	48	191200	3194880
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	8	44286	1518192
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	27	139764	3120714
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	49	188892	3261440
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	9	49168	1707966
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	28	140466	3236296
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	10	54418	1897740
./crashC13.24711168/crashC13.24711168_chr13.vcf.gz	50	183370	3328000
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	2	8378	133976
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	11	60614	2087514
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	3	13202	200964
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	29	145820	3351878
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	4	17168	267952
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	5	21562	334940
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	12	68208	2277288
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	6	25032	401928
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	7	27914	468916
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	8	36326	535904
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	13	71264	2467062
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	30	156510	3467460
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	9	37302	602892
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	10	39878	669880
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	11	47128	736868
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	14	78442	2656836
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	12	51664	803856
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	13	54918	870844
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	31	165134	3583042
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	14	59790	937832
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	15	83408	2846610
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	15	62782	1004820
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	16	67254	1071808
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	16	88870	3036384
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	17	72646	1138796
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	32	166828	3698624
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	18	75698	1205784
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	17	95512	3226158
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	19	79872	1272772
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	20	84656	1339760
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	33	161864	3814206
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	21	90978	1406748
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	18	98564	3415932
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	22	87774	1473736
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	23	94116	1540724
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	19	106866	3605706
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	34	175374	3929788
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	24	98026	1607712
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	25	104144	1674700
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	20	109698	3795480
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	26	111740	1741688
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	35	174576	4045370
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	27	105430	1808676
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	21	116382	3985254
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	28	112372	1875664
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	29	127326	1942652
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	36	183760	4160952
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	22	122186	4175028
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	30	124684	2009640
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	31	128780	2076628
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	23	128018	4364802
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	37	190642	4276534
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	32	136944	2143616
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	33	135724	2210604
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	24	135102	4554576
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	34	133086	2277592
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	38	198724	4392116
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	25	135764	4744350
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	35	145824	2344580
./crashC13.45193572/crashC13.45193572_chr13.vcf.gz	36	148982	2411568
./equilC2.115134856/equilC2.115134856_chr2.vcf.gz	39	201734	4507698
./growthC1.37633699/growthC1.37633699_chr1.vcf.gz	26	144444	4934124
